"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Australia"	37962.624821	38975.040715	39733.167293	40935.075284	41776.95878	42402.641441	43414.579646	44150.704999	44084.170067	44137.777599	44495.643202	45594.057304	45960.265235	46341.214043	46637.881577	47226.759745	47555.958145	48124.704067	48436.270652	47697.873106	48165.570251	49844.277093	51041.128905
"Austria"	43826.217463	44212.00173	44720.715531	44940.879464	45880.729402	46591.873923	47952.415596	49576.458167	50141.196891	48138.232375	48907.740264	50172.404689	50287.336153	49998.030798	49935.741207	49942.056293	50292.869072	51105.598801	52092.58838	52645.177074	49030.929309	51066.612552	53013.385589
"Belgium"	40193.013938	40492.779243	41000.603358	41254.504956	42543.280341	43290.084485	44104.58796	45390.608273	45235.876086	43968.71184	44813.015382	44986.105489	45037.117569	45033.114033	45539.926451	46201.685891	46551.557243	47122.513182	47749.112361	48565.48716	45742.144948	48416.150243	49556.843889
"Canada"	38857.668963	39125.84952	39870.747803	40224.812051	41081.452098	41999.236152	42672.305312	43135.456583	43099.398601	41363.353513	42169.958896	43073.043636	43358.187453	43901.731687	44709.974021	44670.054374	44609.373407	45417.373568	46023.951798	46224.352197	43410.115631	45324.187075	46016.736321
"Czech Republic"	23369.788901	24194.712463	24630.950405	25511.453614	26725.830225	28414.532924	30241.130114	31752.335641	32270.821083	30586.624399	31254.653408	31867.189823	31579.081981	31560.282601	32231.081463	33909.309243	34696.158781	36405.974217	37447.774915	38427.283824	36208.012906	37504.340752	38452.145084
"Denmark"	45363.342854	45574.535239	45625.248194	45684.243979	46790.347376	47742.289876	49446.206674	49685.607114	49134.243284	46469.654334	47134.277111	47567.126015	47495.796925	47751.19868	48266.506927	49058.142344	50235.017766	51329.969285	52089.171128	52658.08331	51492.683853	53771.659548	55333.689848
"Finland"	37615.221259	38509.197672	39071.714288	39759.826172	41226.865951	42228.332362	43760.541235	45884.392115	46029.15193	42110.456301	43253.589026	44150.573049	43326.896921	42738.866422	42399.714605	42490.211049	43567.153009	44852.705041	45298.109327	45808.054336	44655.694771	45926.440358	46757.721849
"France"	37450.37248	37916.240905	38068.790551	38111.413672	38902.33218	39253.219157	39935.850053	40652.384471	40529.325788	39163.379045	39730.929181	40403.853393	40332.198992	40355.646336	40544.300556	40829.893311	41122.761483	41886.432468	42456.989255	43039.731864	39548.027925	42111.952755	43018.868006
"Germany"	40319.796468	40967.58503	40855.90704	40584.295248	41108.076902	41469.45084	43139.089799	44522.381701	45076.637674	42658.468152	44551.699274	46305.63028	46412.115464	46488.045872	47317.49116	47609.557159	48279.984174	49389.274604	49724.106933	50136.407781	48243.490171	49490.011636	50014.018346
"Greece"	27587.574984	28578.356317	29590.863966	31230.78771	32730.320196	32829.958713	34581.65692	35622.921465	35409.414302	33797.58207	31904.690381	28709.018891	26819.242268	26334.728932	26636.929072	26760.280798	26740.949599	27086.516098	27594.370367	28144.027504	25664.924719	27981.784588	29811.359196
