"country"	"2007"	"2008"	"2010"	"2012"	"2014"	"2016"	"2018"	"2020"	"HDI_MHI"	"HDI_MHI_clustering"
"9"	"Australia"	0.915	0.919	0.923	0.93	0.931	0.935	0.941	0.947	0.87406015037594	3
"10"	"Austria"	0.896	0.898	0.902	0.906	0.909	0.915	0.917	0.913	0.56015037593985	3
"13"	"Belgium"	0.908	0.908	0.912	0.915	0.921	0.927	0.933	0.928	0.721804511278195	3
"30"	"Canada"	0.908	0.91	0.911	0.921	0.925	0.928	0.933	0.931	0.75	3
"31"	"Switzerland"	0.92	0.926	0.942	0.945	0.952	0.956	0.959	0.956	0.981203007518797	4
"32"	"Chile"	0.801	0.813	0.813	0.824	0.841	0.85	0.856	0.852	0.144736842105263	2
"38"	"Colombia"	0.71	0.716	0.726	0.734	0.75	0.759	0.763	0.756	0.0281954887218045	1
"41"	"Costa Rica"	0.756	0.765	0.772	0.786	0.796	0.803	0.811	0.816	0.0902255639097744	1
"44"	"Czechia"	0.859	0.863	0.87	0.874	0.887	0.895	0.894	0.892	0.402255639097744	2
"45"	"Germany"	0.921	0.923	0.926	0.933	0.937	0.941	0.945	0.944	0.930451127819549	4
"48"	"Denmark"	0.911	0.915	0.913	0.931	0.932	0.943	0.942	0.947	0.885338345864662	4
"54"	"Spain"	0.858	0.86	0.868	0.874	0.884	0.895	0.901	0.899	0.396616541353383	2
"55"	"Estonia"	0.853	0.856	0.861	0.874	0.879	0.885	0.891	0.892	0.345864661654135	2
"57"	"Finland"	0.911	0.912	0.911	0.915	0.927	0.931	0.936	0.938	0.770676691729323	3
"59"	"France"	0.873	0.873	0.877	0.882	0.892	0.895	0.901	0.898	0.43421052631579	2
"62"	"United Kingdom"	0.897	0.9	0.912	0.909	0.924	0.927	0.929	0.924	0.678571428571429	3
"69"	"Greece"	0.858	0.863	0.869	0.866	0.879	0.877	0.886	0.886	0.336466165413534	2
"77"	"Hungary"	0.817	0.823	0.828	0.831	0.838	0.843	0.849	0.849	0.150375939849624	2
"80"	"Ireland"	0.896	0.899	0.904	0.903	0.914	0.929	0.937	0.943	0.671052631578947	3
"83"	"Iceland"	0.909	0.902	0.902	0.921	0.938	0.948	0.959	0.957	0.840225563909774	3
"84"	"Israel"	0.885	0.885	0.894	0.898	0.908	0.913	0.919	0.917	0.528195488721805	3
"85"	"Italy"	0.877	0.878	0.882	0.883	0.883	0.887	0.893	0.889	0.411654135338346	2
"88"	"Japan"	0.895	0.895	0.898	0.905	0.914	0.921	0.923	0.923	0.584586466165414	3
"95"	"Korea (Republic of)"	0.871	0.875	0.89	0.897	0.906	0.912	0.919	0.922	0.503759398496241	2
"105"	"Lithuania"	0.83	0.84	0.842	0.851	0.861	0.868	0.88	0.879	0.280075187969925	2
"106"	"Luxembourg"	0.887	0.9	0.912	0.916	0.926	0.923	0.922	0.924	0.661654135338346	3
"107"	"Latvia"	0.82	0.827	0.824	0.833	0.846	0.855	0.866	0.871	0.208646616541353	2
"113"	"Mexico"	0.743	0.745	0.746	0.76	0.764	0.772	0.777	0.756	0.0582706766917293	1
"130"	"Netherlands"	0.912	0.912	0.917	0.927	0.931	0.933	0.939	0.939	0.845864661654135	3
"131"	"Norway"	0.938	0.94	0.941	0.946	0.952	0.955	0.962	0.959	0.992481203007519	4
"134"	"New Zealand"	0.916	0.915	0.922	0.924	0.93	0.934	0.936	0.936	0.827067669172932	3
"142"	"Poland"	0.825	0.831	0.841	0.852	0.865	0.872	0.877	0.876	0.272556390977444	2
"144"	"Portugal"	0.818	0.822	0.829	0.836	0.848	0.853	0.86	0.863	0.201127819548872	2
"164"	"Slovakia"	0.823	0.831	0.84	0.845	0.849	0.854	0.859	0.857	0.221804511278195	2
"165"	"Slovenia"	0.882	0.888	0.89	0.891	0.902	0.91	0.917	0.913	0.490601503759398	2
"166"	"Sweden"	0.908	0.905	0.91	0.911	0.935	0.939	0.942	0.942	0.795112781954887	3
"179"	"Turkey"	0.717	0.721	0.749	0.769	0.809	0.823	0.839	0.833	0.0883458646616541	1
"185"	"United States"	0.906	0.906	0.911	0.916	0.919	0.922	0.927	0.92	0.671052631578947	3
