"Country"	"Year"	"Prevalence_females"	"Prevalence_males"	"Prevalence_both"	"GDP"	"Education"	"Education_females"	"Education_males"	"Affordability"	"Cig_taxes"	"Campaigns"	"Help"	"Warn"	"Bans"	"Protect"	"Monitor"	"HDI_MHI"	"HDI_MHI_clustering"
"1"	"Australia"	"2007"	17.692	21.992	19.892	44150.704999	46.2333333333333	50.9333333333333	41.4333333333333	1.95	0.62	5	5	5	4	5	4	0.87406015037594	3
"2"	"Australia"	"2008"	17.112	21.412	19.312	44084.170067	46.2333333333333	50.9333333333333	41.4333333333333	1.95	0.62	5	5	5	4	5	4	0.87406015037594	3
"3"	"Australia"	"2010"	16	20.3	18.2	44495.643202	46.2333333333333	50.9333333333333	41.4333333333333	1.95	0.64	5	5	5	4	5	4	0.87406015037594	3
"4"	"Australia"	"2012"	14.952	19.252	17.152	45960.265235	46.2333333333333	50.9333333333333	41.4333333333333	2.06	0.6	5	5	5	4	5	4	0.87406015037594	3
"5"	"Australia"	"2014"	13.968	18.268	16.168	46637.881577	46.2333333333333	50.9333333333333	41.4333333333333	2.5	0.57	5	5	5	4	5	4	0.87406015037594	3
"6"	"Australia"	"2016"	13.0488888888889	17.3488888888889	15.2488888888889	47555.958145	43.7	47.6	39.8	3.01	0.6	5	5	5	4	5	4	0.87406015037594	3
"7"	"Australia"	"2018"	12.2	16.5	14.4	48436.270652	45.7	50.8	40.4	2.75	0.78	5	5	5	4	5	4	0.87406015037594	3
"8"	"Australia"	"2020"	11.5	15.6	13.6	48165.570251	49.3	54.4	44.1	3.89	0.74	2	4	5	4	5	4	0.87406015037594	3
"9"	"Austria"	"2007"	37.86	43.948	40.904	49576.458167	17.3	14.6	20.1	1.13	0.74	2	4	3	4	2	4	0.56015037593985	3
"10"	"Austria"	"2008"	36.68	42.448	39.564	50141.196891	17.9	15.4	20.4	1.13	0.74	2	4	3	4	2	4	0.56015037593985	3
"11"	"Austria"	"2010"	34.5	39.7	37.1	48907.740264	19.1	17.2	21.1	1.13	0.73	2	4	3	4	2	4	0.56015037593985	3
"12"	"Austria"	"2012"	32.432	37.096	34.764	50287.336153	19.8	17.9	21.7	1.19	0.74	2	4	3	4	2	4	0.56015037593985	3
"13"	"Austria"	"2014"	30.348	34.444	32.396	49935.741207	29.9	28.6	31.2	1.26	0.74	2	4	3	4	2	4	0.56015037593985	3
"14"	"Austria"	"2016"	28.3	31.8333333333333	30.0666666666667	50292.869072	31.4	30.6	32.2	1.22	0.76	5	4	5	4	2	4	0.56015037593985	3
"15"	"Austria"	"2018"	26.6	29.8	28.2	52092.58838	32.7	31.8	33.7	1.27	0.75	5	4	5	4	2	4	0.56015037593985	3
"16"	"Austria"	"2020"	25	27.7	26.4	49030.929309	34.2	34	34.4	1.34	0.75	4	5	5	4	3	4	0.56015037593985	3
"17"	"Belgium"	"2007"	23.476	31.916	27.704	45390.608273	32.1	33.7	30.5	1.45	0.77	2	5	4	4	3	4	0.721804511278195	3
"18"	"Belgium"	"2008"	23.176	31.236	27.224	45235.876086	32.3	34	30.7	1.45	0.77	2	5	4	4	3	4	0.721804511278195	3
"19"	"Belgium"	"2010"	22.6	29.9	26.3	44813.015382	35	37	33	1.45	0.76	2	4	4	4	2	4	0.721804511278195	3
"20"	"Belgium"	"2012"	22.056	28.66	25.424	45037.117569	35.3	37.9	32.7	1.51	0.76	2	4	4	4	2	4	0.721804511278195	3
"21"	"Belgium"	"2014"	21.544	27.58	24.596	45539.926451	36.9	39.9	33.9	1.61	0.76	2	4	4	4	2	4	0.721804511278195	3
"22"	"Belgium"	"2016"	21.0288888888889	26.6044444444445	23.7955555555556	46551.557243	37.5	40.8	34.2	1.66	0.76	4	4	5	4	2	4	0.721804511278195	3
"23"	"Belgium"	"2018"	20.3	25.4	22.9	47749.112361	40.6	44.3	36.9	1.64	0.77	2	4	5	4	2	4	0.721804511278195	3
"24"	"Belgium"	"2020"	19.9	24.4	22.2	45742.144948	42.4	47	37.9	1.77	0.77	2	4	5	4	2	4	0.721804511278195	3
"25"	"Canada"	"2007"	19.316	23.832	21.568	43135.456583	48	52	44	1.77	0.65	2	3	4	2	5	4	0.75	3
"26"	"Canada"	"2008"	18.496	23.052	20.768	43099.398601	49	53	44	1.77	0.65	2	5	4	2	5	4	0.75	3
"27"	"Canada"	"2010"	17	21.6	19.3	42169.958896	50	55	45	1.77	0.62	2	5	4	4	5	4	0.75	3
"28"	"Canada"	"2012"	15.6	20.212	17.912	43358.187453	52	58	47	1.61	0.64	2	5	5	4	5	4	0.75	3
"29"	"Canada"	"2014"	14.2	18.808	16.508	44709.974021	53	59	48	1.64	0.7	2	5	5	4	5	4	0.75	3
"30"	"Canada"	"2016"	12.8444444444444	17.4266666666667	15.1377777777778	44609.373407	56	62	50	1.83	0.66	2	5	5	4	5	4	0.75	3
"31"	"Canada"	"2018"	11.8	16.3	14.1	46023.951798	58	64	51	1.96	0.64	2	5	5	4	5	4	0.75	3
"32"	"Canada"	"2020"	10.7	15.3	13	43410.115631	60	66	53	2.27	0.62	4	5	5	4	5	4	0.75	3
"33"	"Chile"	"2007"	36.24	43.236	39.788	18564.987124	31.4	31.9	30.9	1.82	0.76	2	3	5	4	3	4	0.144736842105263	2
"34"	"Chile"	"2008"	35.44	42.196	38.868	19078.55248	31.4	31.9	30.9	1.82	0.76	2	3	5	4	3	4	0.144736842105263	2
"35"	"Chile"	"2010"	33.9	40.2	37.1	19617.710333	31.4	31.9	30.9	1.82	0.76	2	3	5	4	3	4	0.144736842105263	2
"36"	"Chile"	"2012"	32.408	38.284	35.396	21640.035639	31.4	31.9	30.9	2.2	0.82	4	3	5	4	3	4	0.144736842105263	2
"37"	"Chile"	"2014"	30.932	36.416	33.724	22316.501694	31.4	31.9	30.9	2.04	0.83	3	3	5	4	5	4	0.144736842105263	2
"38"	"Chile"	"2016"	29.48	34.6266666666667	32.0977777777778	22711.780019	31.4	31.9	30.9	2.33	0.89	2	3	5	4	5	4	0.144736842105263	2
"39"	"Chile"	"2018"	28.1	33.1	30.6	23192.764485	31.4	31.9	30.9	2.65	0.82	4	3	5	4	5	4	0.144736842105263	2
"40"	"Chile"	"2020"	26.8	31.6	29.2	21132.599651	31.4	31.9	30.9	3.01	0.8	4	3	5	4	5	4	0.144736842105263	2
"41"	"Colombia"	"2007"	6.616	18.292	12.468	10970.097908	15.4	15.9	14.9	1.57	0.34	5	3	2	2	2	3	0.0281954887218045	1
"42"	"Colombia"	"2008"	6.436	17.732	12.108	11209.136511	16.3	16.9	15.7	1.57	0.34	5	3	2	2	5	3	0.0281954887218045	1
"43"	"Colombia"	"2010"	6.1	16.6	11.4	11578.634412	16.6	17.6	15.6	1.57	0.5	5	3	4	5	5	3	0.0281954887218045	1
"44"	"Colombia"	"2012"	5.78	15.564	10.74	12611.315972	18.1	19.4	16.6	1.59	0.51	4	3	4	5	5	4	0.0281954887218045	1
"45"	"Colombia"	"2014"	5.46	14.736	10.16	13496.885517	22.4	24	20.6	1.55	0.49	5	3	4	5	5	4	0.0281954887218045	1
"46"	"Colombia"	"2016"	5.13777777777778	14.06	9.63333333333333	13897.986431	22.2	24.2	20.2	1.54	0.5	5	4	4	5	5	4	0.0281954887218045	1
"47"	"Colombia"	"2018"	4.8	13.2	9	14021.031634	23.4	25.6	21.1	2.02	0.78	4	4	4	5	5	3	0.0281954887218045	1
"48"	"Colombia"	"2020"	4.6	12.4	8.5	12868.399737	24.6	27.1	22	2.6	0.73	3	4	4	5	5	3	0.0281954887218045	1
"49"	"Costa Rica"	"2007"	7.504	20.332	13.968	14904.066438	21.8	22	21.5	1.86	0.42	2	4	2	2	2	4	0.0902255639097744	1
"50"	"Costa Rica"	"2008"	7.224	19.652	13.488	15389.923312	22.3	22.8	21.8	1.86	0.42	2	4	2	2	2	3	0.0902255639097744	1
"51"	"Costa Rica"	"2010"	6.7	18.4	12.6	15564.539453	21	21.9	20	1.86	0.42	2	4	2	2	2	4	0.0902255639097744	1
"52"	"Costa Rica"	"2012"	6.208	17.212	11.76	16662.720458	23.2	24	22.5	2.6	0.58	5	4	4	4	5	4	0.0902255639097744	1
"53"	"Costa Rica"	"2014"	5.732	16.008	10.92	17238.027133	23.5	24.3	22.8	2.82	0.57	4	4	5	4	5	4	0.0902255639097744	1
"54"	"Costa Rica"	"2016"	5.28	14.8155555555556	10.0977777777778	18171.908528	23	24.8	21.2	2.68	0.56	5	4	5	4	5	4	0.0902255639097744	1
"55"	"Costa Rica"	"2018"	4.9	13.8	9.4	18983.883458	22.6	23.6	21.6	2.73	0.55	5	5	5	4	5	4	0.0902255639097744	1
"56"	"Costa Rica"	"2020"	4.6	12.9	8.8	18219.900865	25.1	26.4	23.8	3.26	0.54	5	5	5	4	5	4	0.0902255639097744	1
"57"	"Czech Republic"	"2007"	27.78	38.224	32.996	31752.335641	13.7	12.6	14.8	1.65	0.83	4	3	3	4	3	3	0.402255639097744	2
"58"	"Czech Republic"	"2008"	27.64	37.924	32.776	32270.821083	14.5	13.7	15.2	1.65	0.83	4	4	3	4	3	3	0.402255639097744	2
"59"	"Czech Republic"	"2010"	27.3	37.3	32.3	31254.653408	16.8	16.3	17.3	1.65	0.79	4	4	3	4	3	4	0.402255639097744	2
"60"	"Czech Republic"	"2012"	27.008	36.676	31.856	31579.081981	19.3	19.5	19	1.75	0.78	3	4	3	4	3	4	0.402255639097744	2
"61"	"Czech Republic"	"2014"	26.892	36.084	31.524	32231.081463	21.5	22.4	20.7	1.74	0.77	4	3	3	4	3	4	0.402255639097744	2
"62"	"Czech Republic"	"2016"	26.8977777777778	35.5688888888889	31.2933333333333	34696.158781	23	24.1	21.9	1.85	0.77	2	4	5	4	3	4	0.402255639097744	2
"63"	"Czech Republic"	"2018"	26.7	35.4	31.1	37447.774915	24.3	26.1	22.5	1.84	0.75	4	5	5	4	3	4	0.402255639097744	2
"64"	"Czech Republic"	"2020"	26.4	35	30.7	36208.012906	24.9	27.3	22.5	2.07	0.77	4	5	5	4	3	4	0.402255639097744	2
"65"	"Denmark"	"2007"	26.708	30.292	28.536	49685.607114	30.9	33.5	28.3	1.13	0.73	5	4	3	4	2	4	0.885338345864662	4
"66"	"Denmark"	"2008"	25.828	29.072	27.476	49134.243284	31.1	33.6	28.7	1.13	0.73	5	4	3	4	2	4	0.885338345864662	4
"67"	"Denmark"	"2010"	24.2	26.8	25.5	47134.277111	33	36.5	29.6	1.13	0.75	5	4	3	4	2	4	0.885338345864662	4
"68"	"Denmark"	"2012"	22.652	24.72	23.668	47495.796925	34.6	39.9	29.4	1.18	0.79	3	5	4	4	2	4	0.885338345864662	4
"69"	"Denmark"	"2014"	21.088	22.8	21.932	48266.506927	35.7	40.5	30.9	1.25	0.75	2	5	4	4	2	4	0.885338345864662	4
"70"	"Denmark"	"2016"	19.5622222222222	21.0355555555556	20.3088888888889	50235.017766	37.8	42.5	33.1	1.19	0.75	5	5	5	4	2	4	0.885338345864662	4
"71"	"Denmark"	"2018"	18.4	19.4	18.9	52089.171128	39.4	45.2	33.8	1.15	0.74	4	5	5	4	2	4	0.885338345864662	4
"72"	"Denmark"	"2020"	17.1	17.8	17.5	51492.683853	40.6	45.8	35.4	1.59	0.78	4	5	5	4	2	4	0.885338345864662	4
"73"	"Estonia"	"2007"	25.288	45.12	35.26	29223.216976	33.3	39.9	26.1	1.83	0.77	2	3	3	4	2	4	0.345864661654135	2
"74"	"Estonia"	"2008"	24.988	43.94	34.52	27816.694166	34.2	41.6	26.3	1.83	0.77	2	3	3	4	2	4	0.345864661654135	2
"75"	"Estonia"	"2010"	24.4	41.7	33.1	24420.878808	35.5	43.8	26.5	1.83	0.83	2	3	3	4	2	4	0.345864661654135	2
"76"	"Estonia"	"2012"	23.828	39.556	31.728	27205.479872	37.6	45.9	28.9	2.27	0.77	2	4	3	4	2	4	0.345864661654135	2
"77"	"Estonia"	"2014"	23.272	37.444	30.372	28636.583803	37.6	46.2	28.5	2.28	0.77	2	4	3	4	2	4	0.345864661654135	2
"78"	"Estonia"	"2016"	22.7311111111111	35.3733333333333	29.0422222222222	30085.329975	37.7	47.1	27.9	2.28	0.77	5	5	5	4	2	4	0.345864661654135	2
"79"	"Estonia"	"2018"	22.2	33.4	27.8	32951.360088	39.1	49.2	28.8	1.78	0.86	5	4	5	4	2	4	0.345864661654135	2
"80"	"Estonia"	"2020"	21.6	31.8	26.7	33745.715686	40.1	50.3	29.9	1.99	0.88	5	4	5	4	2	4	0.345864661654135	2
"81"	"Finland"	"2007"	21.312	28.448	24.88	45884.392115	36.4	41.7	31.1	1.23	0.77	5	4	3	4	2	4	0.770676691729323	3
"82"	"Finland"	"2008"	20.892	27.708	24.3	46029.15193	36.6	42.2	31	1.23	0.77	5	4	3	4	2	4	0.770676691729323	3
"83"	"Finland"	"2010"	20.1	26.3	23.2	43253.589026	38.1	44	32.4	1.23	0.79	5	4	3	4	2	4	0.770676691729323	3
"84"	"Finland"	"2012"	19.308	24.956	22.132	43326.896921	39.7	46.2	33.3	1.31	0.8	3	4	3	4	2	4	0.770676691729323	3
"85"	"Finland"	"2014"	18.452	23.644	21.048	42399.714605	41.8	48.5	35.2	1.44	0.82	5	4	3	4	2	4	0.770676691729323	3
"86"	"Finland"	"2016"	17.5822222222222	22.3733333333333	19.9777777777778	43567.153009	43.1	50.2	36.1	1.54	0.85	4	4	5	5	2	4	0.770676691729323	3
"87"	"Finland"	"2018"	17	21.2	19.1	45298.109327	44.5	52.3	36.8	1.7	0.87	3	4	5	5	2	4	0.770676691729323	3
"88"	"Finland"	"2020"	16.3	20.1	18.2	44655.694771	47.5	55.7	39.5	2.04	0.88	4	4	5	5	2	4	0.770676691729323	3
"89"	"France"	"2007"	30.696	37.324	34.004	40652.384471	26.6	27.9	25.2	1.76	0.8	3	4	3	4	3	4	0.43421052631579	2
"90"	"France"	"2008"	30.776	37.124	33.944	40529.325788	27.1	28.9	25.2	1.76	0.8	3	4	3	4	3	4	0.43421052631579	2
"91"	"France"	"2010"	30.9	36.7	33.8	39730.929181	28.9	30.5	27.2	1.76	0.8	3	4	4	4	3	4	0.43421052631579	2
"92"	"France"	"2012"	31.04	36.308	33.688	40332.198992	30.7	32.5	28.8	1.88	0.8	4	4	4	4	3	4	0.43421052631579	2
"93"	"France"	"2014"	31.26	36.012	33.672	40544.300556	33.2	35.4	30.9	2.08	0.8	4	4	4	4	3	4	0.43421052631579	2
"94"	"France"	"2016"	31.5333333333333	35.7666666666667	33.7044444444444	41122.761483	34.6	36.9	32.2	2.02	0.8	4	4	5	4	3	4	0.43421052631579	2
"95"	"France"	"2018"	31.7	35.3	33.5	42456.989255	36.9	39.5	34.3	2.19	0.82	5	4	5	4	3	4	0.43421052631579	2
"96"	"France"	"2020"	31.9	34.9	33.4	39548.027925	39.7	42.5	36.7	2.91	0.83	5	4	5	4	3	4	0.43421052631579	2
"97"	"Germany"	"2007"	27.008	34.016	30.52	44522.381701	24.3	20.8	27.8	1.55	0.76	5	4	3	4	2	4	0.930451127819549	4
"98"	"Germany"	"2008"	26.368	33.116	29.76	45076.637674	25.4	21.8	28.9	1.55	0.76	5	4	3	4	2	4	0.930451127819549	4
"99"	"Germany"	"2010"	25.1	31.4	28.3	44551.699274	26.7	23.4	30	1.55	0.74	5	4	3	4	2	4	0.930451127819549	4
"100"	"Germany"	"2012"	23.896	29.78	26.904	46412.115464	28.2	25.8	30.7	1.54	0.73	4	4	3	4	2	4	0.930451127819549	4
"101"	"Germany"	"2014"	22.804	28.24	25.556	47317.49116	27.1	23.7	30.5	1.51	0.73	4	4	3	4	2	4	0.930451127819549	4
"102"	"Germany"	"2016"	21.8177777777778	26.7911111111111	24.2777777777778	48279.984174	28.3	25.2	31.3	1.58	0.7	4	4	5	4	2	4	0.930451127819549	4
"103"	"Germany"	"2018"	20.9	25.5	23.2	49724.106933	29.1	26.4	31.7	1.58	0.68	5	4	5	4	2	4	0.930451127819549	4
"104"	"Germany"	"2020"	19.9	24.1	22	48243.490171	31.2	28.9	33.6	1.76	0.64	5	4	5	4	2	4	0.930451127819549	4
"105"	"Greece"	"2007"	38.62	53.72	46.164	35622.921465	22.1	21.3	22.9	1.57	0.73	5	3	3	4	2	4	0.336466165413534	2
"106"	"Greece"	"2008"	37.96	52.14	45.044	35409.414302	22.8	22.4	23.1	1.57	0.73	5	3	3	4	2	4	0.336466165413534	2
"107"	"Greece"	"2010"	36.7	49.1	42.9	31904.690381	24	24.2	23.8	1.57	0.86	5	3	3	4	5	4	0.336466165413534	2
"108"	"Greece"	"2012"	35.456	46.236	40.852	26819.242268	26.1	26.4	25.8	2.15	0.82	3	4	3	4	5	4	0.336466165413534	2
"109"	"Greece"	"2014"	34.164	43.564	38.868	26636.929072	28.1	28.5	27.7	2.45	0.8	1	4	3	4	5	4	0.336466165413534	2
"110"	"Greece"	"2016"	32.8755555555556	41.0844444444444	36.9822222222222	26740.949599	30.2	31.9	28.5	2.44	0.81	2	4	5	4	5	4	0.336466165413534	2
"111"	"Greece"	"2018"	31.9	38.8	35.4	27594.370367	31.7	33.1	30.3	2.67	0.81	2	4	5	4	5	4	0.336466165413534	2
"112"	"Greece"	"2020"	30.5	36.5	33.5	25664.924719	32.7	34.5	30.9	2.93	0.81	2	4	5	4	5	4	0.336466165413534	2
"113"	"Hungary"	"2007"	30.144	40.552	35.356	24851.128376	18.1	19.6	16.5	2.24	0.74	3	3	3	4	2	3	0.150375939849624	2
"114"	"Hungary"	"2008"	29.984	40.172	35.096	25144.608572	19.3	21	17.4	2.24	0.74	3	3	3	4	2	3	0.150375939849624	2
"115"	"Hungary"	"2010"	29.7	39.4	34.6	23828.962676	20	22.3	17.6	2.24	0.79	3	4	3	4	2	3	0.150375939849624	2
"116"	"Hungary"	"2012"	29.384	38.644	34.088	24162.81615	22.1	25	19.1	2.61	0.84	4	4	4	4	4	4	0.150375939849624	2
"117"	"Hungary"	"2014"	28.956	37.936	33.512	25779.461466	23.4	26.3	20.2	3.02	0.77	3	4	4	4	4	4	0.150375939849624	2
"118"	"Hungary"	"2016"	28.4422222222222	37.2577777777778	32.8866666666667	27469.64385	23.7	26.8	20.5	3.15	0.74	2	4	5	4	4	4	0.150375939849624	2
"119"	"Hungary"	"2018"	28	36.5	32.3	30297.815904	25.1	28.5	21.6	2.85	0.72	2	4	5	4	4	4	0.150375939849624	2
"120"	"Hungary"	"2020"	27.8	35.8	31.8	30409.614788	27.2	31.3	23	3.2	0.73	2	4	5	4	4	4	0.150375939849624	2
"121"	"Iceland"	"2007"	20.6	23.056	21.884	49873.118152	30.4	33.1	27.9	1.71	0.58	2	3	3	5	2	4	0.840225563909774	3
"122"	"Iceland"	"2008"	19.76	21.936	20.904	49698.292382	31.3	34.7	28.1	1.71	0.58	2	3	3	5	2	4	0.840225563909774	3
"123"	"Iceland"	"2010"	18.2	19.9	19.1	44785.869637	32.5	37.8	27.4	1.71	0.56	2	3	3	5	2	4	0.840225563909774	3
"124"	"Iceland"	"2012"	16.784	18.04	17.456	45709.569198	35.2	41.4	29	1.73	0.57	3	3	4	5	2	4	0.840225563909774	3
"125"	"Iceland"	"2014"	15.496	16.26	15.924	47602.309448	37.3	43.5	31.1	1.91	0.56	2	3	4	5	2	4	0.840225563909774	3
"126"	"Iceland"	"2016"	14.3133333333333	14.6	14.5044444444444	51587.556544	40.5	48.2	32.9	1.7	0.56	2	3	4	5	2	4	0.840225563909774	3
"127"	"Iceland"	"2018"	13.1	13.3	13.2	53614.206581	43.8	52.9	35.3	1.7	0.55	2	3	4	5	2	4	0.840225563909774	3
"128"	"Iceland"	"2020"	12	11.9	12	48722.900527	43.7	51	37	1.86	0.55	2	3	4	5	2	4	0.840225563909774	3
"129"	"Ireland"	"2007"	28.956	30.104	29.524	58120.684028	34.3	36.6	31.9	2.33	0.8	5	5	3	4	5	4	0.671052631578947	3
"130"	"Ireland"	"2008"	27.996	29.424	28.704	54331.033443	35.9	38.6	33.2	2.33	0.8	5	5	3	4	5	4	0.671052631578947	3
"131"	"Ireland"	"2010"	26.1	28.1	27.1	51697.347338	38.7	41.9	35.5	2.33	0.79	5	5	3	4	5	4	0.671052631578947	3
