"Country"	"Year"	"Monitor"	"Protect.from.tobacco.smoke"	"Offer.help.to.quit.tobacco.use"	"Warn.about.the.dangers.of.tobacco"	"Enforce.bans.on.tobacco.advertising"	"Raise.taxes.on.tobacco"	"Anti.tobacco.mass.media.campaigns.Country"	"Anti.tobacco.mass.media.campaigns.Year"	"Anti.tobacco.mass.media.campaigns.Anti.tobacco.mass.media.campaigns"
"65"	"Australia"	2020	4	5	4	5	4	"4"	Australia	2020	2
"66"	"Australia"	2018	4	5	5	5	4	"5"	Australia	2018	5
"67"	"Australia"	2016	4	5	5	5	4	"4"	Australia	2016	5
"68"	"Australia"	2014	4	5	5	5	4	"4"	Australia	2014	5
"69"	"Australia"	2012	4	5	5	5	4	"4"	Australia	2012	5
"70"	"Australia"	2010	4	5	5	5	4	"4"	Australia	2010	5
"71"	"Australia"	2008	4	5	5	5	4	"4"	Australia	2008	5
"72"	"Australia"	2007	4	5	5	5	4	""	Australia	2007	5
"73"	"Austria"	2020	4	3	5	5	4	"4"	Austria	2020	4
"74"	"Austria"	2018	4	2	4	5	4	"5"	Austria	2018	5
"75"	"Austria"	2016	4	2	4	5	4	"5"	Austria	2016	5
"76"	"Austria"	2014	4	2	4	3	4	"4"	Austria	2014	2
"77"	"Austria"	2012	4	2	4	3	4	"4"	Austria	2012	2
"78"	"Austria"	2010	4	2	4	3	4	"4"	Austria	2010	2
"79"	"Austria"	2008	4	2	4	3	4	"4"	Austria	2008	2
"80"	"Austria"	2007	4	2	4	3	4	""	Austria	2007	2
"129"	"Belgium"	2020	4	2	4	5	4	"5"	Belgium	2020	2
"130"	"Belgium"	2018	4	2	4	5	4	"5"	Belgium	2018	2
"131"	"Belgium"	2016	4	2	4	5	4	"5"	Belgium	2016	4
"132"	"Belgium"	2014	4	2	4	4	4	"5"	Belgium	2014	2
"133"	"Belgium"	2012	4	2	4	4	4	"5"	Belgium	2012	2
"134"	"Belgium"	2010	4	2	4	4	4	"5"	Belgium	2010	2
"135"	"Belgium"	2008	4	3	5	4	4	"5"	Belgium	2008	2
"136"	"Belgium"	2007	4	3	5	4	4	""	Belgium	2007	2
"249"	"Canada"	2020	4	5	5	5	4	"4"	Canada	2020	4
"250"	"Canada"	2018	4	5	5	5	4	"4"	Canada	2018	2
"251"	"Canada"	2016	4	5	5	5	4	"4"	Canada	2016	2
"252"	"Canada"	2014	4	5	5	5	4	"4"	Canada	2014	2
"253"	"Canada"	2012	4	5	5	5	4	"4"	Canada	2012	2
"254"	"Canada"	2010	4	5	5	4	4	"4"	Canada	2010	2
"255"	"Canada"	2008	4	5	5	4	2	"4"	Canada	2008	2
"256"	"Canada"	2007	4	5	3	4	2	""	Canada	2007	2
"273"	"Chile"	2020	4	5	3	5	4	"5"	Chile	2020	4
"274"	"Chile"	2018	4	5	3	5	4	"5"	Chile	2018	4
"275"	"Chile"	2016	4	5	3	5	4	"5"	Chile	2016	2
"276"	"Chile"	2014	4	5	3	5	4	"5"	Chile	2014	1
"277"	"Chile"	2012	4	3	3	5	4	"5"	Chile	2012	4
"278"	"Chile"	2010	4	3	3	5	4	"5"	Chile	2010	2
"279"	"Chile"	2008	4	3	3	5	4	"5"	Chile	2008	2
"280"	"Chile"	2007	4	3	3	5	4	""	Chile	2007	2
"289"	"Colombia"	2020	3	5	4	4	5	"4"	Colombia	2020	3
"290"	"Colombia"	2018	3	5	4	4	5	"5"	Colombia	2018	1
"291"	"Colombia"	2016	4	5	4	4	5	"3"	Colombia	2016	5
"292"	"Colombia"	2014	4	5	3	4	5	"3"	Colombia	2014	5
"293"	"Colombia"	2012	4	5	3	4	5	"4"	Colombia	2012	4
"294"	"Colombia"	2010	3	5	3	4	5	"3"	Colombia	2010	5
"295"	"Colombia"	2008	3	5	3	2	2	"3"	Colombia	2008	5
"296"	"Colombia"	2007	3	2	3	2	2	""	Colombia	2007	5
