"Country"	"Year"	"Campaigns"	"Help"	"Warn"	"Bans"	"Protect"	"Monitor"	"Taxes"
"1"	"Australia"	"2007"	5	5	5	4	5	4	4
"2"	"Australia"	"2008"	5	5	5	4	5	4	4
"3"	"Australia"	"2010"	5	5	5	4	5	4	4
"4"	"Australia"	"2012"	5	5	5	4	5	4	4
"5"	"Australia"	"2014"	5	5	5	4	5	4	4
"6"	"Australia"	"2016"	5	5	5	4	5	4	4
"7"	"Australia"	"2018"	5	5	5	4	5	4	5
"8"	"Australia"	"2020"	2	4	5	4	5	4	4
"9"	"Austria"	"2007"	2	4	3	4	2	4	4
"10"	"Austria"	"2008"	2	4	3	4	2	4	4
"11"	"Austria"	"2010"	2	4	3	4	2	4	4
"12"	"Austria"	"2012"	2	4	3	4	2	4	4
"13"	"Austria"	"2014"	2	4	3	4	2	4	4
"14"	"Austria"	"2016"	5	4	5	4	2	4	5
"15"	"Austria"	"2018"	5	4	5	4	2	4	5
"16"	"Austria"	"2020"	4	5	5	4	3	4	4
"17"	"Belgium"	"2007"	2	5	4	4	3	4	5
"18"	"Belgium"	"2008"	2	5	4	4	3	4	5
"19"	"Belgium"	"2010"	2	4	4	4	2	4	5
"20"	"Belgium"	"2012"	2	4	4	4	2	4	5
"21"	"Belgium"	"2014"	2	4	4	4	2	4	5
"22"	"Belgium"	"2016"	4	4	5	4	2	4	5
"23"	"Belgium"	"2018"	2	4	5	4	2	4	5
"24"	"Belgium"	"2020"	2	4	5	4	2	4	5
"25"	"Canada"	"2007"	2	3	4	2	5	4	4
"26"	"Canada"	"2008"	2	5	4	2	5	4	4
"27"	"Canada"	"2010"	2	5	4	4	5	4	4
"28"	"Canada"	"2012"	2	5	5	4	5	4	4
"29"	"Canada"	"2014"	2	5	5	4	5	4	4
"30"	"Canada"	"2016"	2	5	5	4	5	4	4
"31"	"Canada"	"2018"	2	5	5	4	5	4	4
"32"	"Canada"	"2020"	4	5	5	4	5	4	4
"33"	"Chile"	"2007"	2	3	5	4	3	4	5
"34"	"Chile"	"2008"	2	3	5	4	3	4	5
"35"	"Chile"	"2010"	2	3	5	4	3	4	5
"36"	"Chile"	"2012"	4	3	5	4	3	4	5
"37"	"Chile"	"2014"	3	3	5	4	5	4	5
"38"	"Chile"	"2016"	2	3	5	4	5	4	5
"39"	"Chile"	"2018"	4	3	5	4	5	4	5
"40"	"Chile"	"2020"	4	3	5	4	5	4	5
"41"	"Colombia"	"2007"	5	3	2	2	2	3	3
"42"	"Colombia"	"2008"	5	3	2	2	5	3	3
"43"	"Colombia"	"2010"	5	3	4	5	5	3	3
"44"	"Colombia"	"2012"	4	3	4	5	5	4	4
"45"	"Colombia"	"2014"	5	3	4	5	5	4	3
"46"	"Colombia"	"2016"	5	4	4	5	5	4	3
"47"	"Colombia"	"2018"	4	4	4	5	5	3	5
"48"	"Colombia"	"2020"	3	4	4	5	5	3	4
"49"	"Costa Rica"	"2007"	2	4	2	2	2	4	3
"50"	"Costa Rica"	"2008"	2	4	2	2	2	3	3
"51"	"Costa Rica"	"2010"	2	4	2	2	2	4	3
"52"	"Costa Rica"	"2012"	5	4	4	4	5	4	4
"53"	"Costa Rica"	"2014"	4	4	5	4	5	4	4
"54"	"Costa Rica"	"2016"	5	4	5	4	5	4	4
"55"	"Costa Rica"	"2018"	5	5	5	4	5	4	4
"56"	"Costa Rica"	"2020"	5	5	5	4	5	4	4
"57"	"Czech Republic"	"2007"	4	3	3	4	3	3	5
"58"	"Czech Republic"	"2008"	4	4	3	4	3	3	5
"59"	"Czech Republic"	"2010"	4	4	3	4	3	4	5
"60"	"Czech Republic"	"2012"	3	4	3	4	3	4	5
"61"	"Czech Republic"	"2014"	4	3	3	4	3	4	5
"62"	"Czech Republic"	"2016"	2	4	5	4	3	4	5
"63"	"Czech Republic"	"2018"	4	5	5	4	3	4	5
"64"	"Czech Republic"	"2020"	4	5	5	4	3	4	5
"65"	"Denmark"	"2007"	5	4	3	4	2	4	4
"66"	"Denmark"	"2008"	5	4	3	4	2	4	4
"67"	"Denmark"	"2010"	5	4	3	4	2	4	4
"68"	"Denmark"	"2012"	3	5	4	4	2	4	5
"69"	"Denmark"	"2014"	2	5	4	4	2	4	4
"70"	"Denmark"	"2016"	5	5	5	4	2	4	4
"71"	"Denmark"	"2018"	4	5	5	4	2	4	4
"72"	"Denmark"	"2020"	4	5	5	4	2	4	5
"73"	"Estonia"	"2007"	2	3	3	4	2	4	5
"74"	"Estonia"	"2008"	2	3	3	4	2	4	5
"75"	"Estonia"	"2010"	2	3	3	4	2	4	5
"76"	"Estonia"	"2012"	2	4	3	4	2	4	5
"77"	"Estonia"	"2014"	2	4	3	4	2	4	5
"78"	"Estonia"	"2016"	5	5	5	4	2	4	5
"79"	"Estonia"	"2018"	5	4	5	4	2	4	5
"80"	"Estonia"	"2020"	5	4	5	4	2	4	5
"81"	"Finland"	"2007"	5	4	3	4	2	4	5
"82"	"Finland"	"2008"	5	4	3	4	2	4	5
"83"	"Finland"	"2010"	5	4	3	4	2	4	5
"84"	"Finland"	"2012"	3	4	3	4	2	4	5
"85"	"Finland"	"2014"	5	4	3	4	2	4	5
"86"	"Finland"	"2016"	4	4	5	5	2	4	5
"87"	"Finland"	"2018"	3	4	5	5	2	4	5
"88"	"Finland"	"2020"	4	4	5	5	2	4	5
"89"	"France"	"2007"	3	4	3	4	3	4	5
"90"	"France"	"2008"	3	4	3	4	3	4	5
"91"	"France"	"2010"	3	4	4	4	3	4	5
"92"	"France"	"2012"	4	4	4	4	3	4	5
"93"	"France"	"2014"	4	4	4	4	3	4	5
"94"	"France"	"2016"	4	4	5	4	3	4	5
"95"	"France"	"2018"	5	4	5	4	3	4	5
"96"	"France"	"2020"	5	4	5	4	3	4	5
"97"	"Germany"	"2007"	5	4	3	4	2	4	5
"98"	"Germany"	"2008"	5	4	3	4	2	4	5
"99"	"Germany"	"2010"	5	4	3	4	2	4	4
"100"	"Germany"	"2012"	4	4	3	4	2	4	4
"101"	"Germany"	"2014"	4	4	3	4	2	4	4
"102"	"Germany"	"2016"	4	4	5	4	2	4	4
"103"	"Germany"	"2018"	5	4	5	4	2	4	4
"104"	"Germany"	"2020"	5	4	5	4	2	4	4
"105"	"Greece"	"2007"	5	3	3	4	2	4	4
"106"	"Greece"	"2008"	5	3	3	4	2	4	4
"107"	"Greece"	"2010"	5	3	3	4	5	4	5
"108"	"Greece"	"2012"	3	4	3	4	5	4	5
"109"	"Greece"	"2014"	1	4	3	4	5	4	5
"110"	"Greece"	"2016"	2	4	5	4	5	4	5
"111"	"Greece"	"2018"	2	4	5	4	5	4	5
"112"	"Greece"	"2020"	2	4	5	4	5	4	5
"113"	"Hungary"	"2007"	3	3	3	4	2	3	4
"114"	"Hungary"	"2008"	3	3	3	4	2	3	4
"115"	"Hungary"	"2010"	3	4	3	4	2	3	5
"116"	"Hungary"	"2012"	4	4	4	4	4	4	5
"117"	"Hungary"	"2014"	3	4	4	4	4	4	5
"118"	"Hungary"	"2016"	2	4	5	4	4	4	4
"119"	"Hungary"	"2018"	2	4	5	4	4	4	4
"120"	"Hungary"	"2020"	2	4	5	4	4	4	4
"121"	"Iceland"	"2007"	2	3	3	5	2	4	4
"122"	"Iceland"	"2008"	2	3	3	5	2	4	4
"123"	"Iceland"	"2010"	2	3	3	5	2	4	4
"124"	"Iceland"	"2012"	3	3	4	5	2	4	4
"125"	"Iceland"	"2014"	2	3	4	5	2	4	4
"126"	"Iceland"	"2016"	2	3	4	5	2	4	4
"127"	"Iceland"	"2018"	2	3	4	5	2	4	4
"128"	"Iceland"	"2020"	2	3	4	5	2	4	4
"129"	"Ireland"	"2007"	5	5	3	4	5	4	5
"130"	"Ireland"	"2008"	5	5	3	4	5	4	5
"131"	"Ireland"	"2010"	5	5	3	4	5	4	5
"132"	"Ireland"	"2012"	5	5	4	4	5	4	5
"133"	"Ireland"	"2014"	5	5	4	4	5	4	5
"134"	"Ireland"	"2016"	5	5	5	4	5	4	5
"135"	"Ireland"	"2018"	5	5	5	4	5	4	5
"136"	"Ireland"	"2020"	5	5	5	4	5	4	5
"137"	"Israel"	"2007"	4	4	3	2	2	4	4
"138"	"Israel"	"2008"	4	5	3	2	2	4	4
"139"	"Israel"	"2010"	4	5	3	2	2	4	4
"140"	"Israel"	"2012"	2	5	3	2	2	2	5
"141"	"Israel"	"2014"	2	5	3	2	2	3	5
"142"	"Israel"	"2016"	2	5	3	2	3	3	5
"143"	"Israel"	"2018"	2	4	3	2	3	3	5
"144"	"Israel"	"2020"	2	4	4	2	3	2	5
"145"	"Italy"	"2007"	4	4	3	4	2	4	5
"146"	"Italy"	"2008"	4	4	3	4	2	4	5
"147"	"Italy"	"2010"	4	4	3	4	2	4	5
"148"	"Italy"	"2012"	3	4	3	4	2	4	5
"149"	"Italy"	"2014"	4	4	3	4	2	4	5
"150"	"Italy"	"2016"	5	4	5	4	2	4	5
"151"	"Italy"	"2018"	5	4	5	4	2	4	5
"152"	"Italy"	"2020"	2	4	5	4	2	4	5
"153"	"Japan"	"2007"	2	4	3	2	2	4	4
"154"	"Japan"	"2008"	2	4	3	2	2	4	4
"155"	"Japan"	"2010"	2	4	3	2	2	4	4
"156"	"Japan"	"2012"	2	4	3	2	2	4	4
"157"	"Japan"	"2014"	2	4	3	2	2	4	4
"158"	"Japan"	"2016"	2	4	3	2	2	4	4
"159"	"Japan"	"2018"	3	4	3	2	3	4	4
"160"	"Japan"	"2020"	5	4	4	2	3	4	4
"161"	"Latvia"	"2007"	2	3	3	4	2	4	4
"162"	"Latvia"	"2008"	2	3	4	4	4	4	4
"163"	"Latvia"	"2010"	2	4	4	4	3	4	5
"164"	"Latvia"	"2012"	2	4	4	4	3	4	5
"165"	"Latvia"	"2014"	2	4	4	4	3	4	5
"166"	"Latvia"	"2016"	4	4	5	4	4	4	5
