"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2000","2000","USD","US Dollar","0","Units","2015","2015",22774.854289,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2001","2001","USD","US Dollar","0","Units","2015","2015",23153.303091,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2002","2002","USD","US Dollar","0","Units","2015","2015",23878.369232,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2003","2003","USD","US Dollar","0","Units","2015","2015",24858.678683,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2004","2004","USD","US Dollar","0","Units","2015","2015",25709.647122,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2005","2005","USD","US Dollar","0","Units","2015","2015",26234.51514,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2006","2006","USD","US Dollar","0","Units","2015","2015",27251.826342,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2007","2007","USD","US Dollar","0","Units","2015","2015",28035.055148,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2008","2008","USD","US Dollar","0","Units","2015","2015",27552.714003,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2009","2009","USD","US Dollar","0","Units","2015","2015",27927.530077,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2010","2010","USD","US Dollar","0","Units","2015","2015",28601.927427,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2011","2011","USD","US Dollar","0","Units","2015","2015",29010.286823,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2012","2012","USD","US Dollar","0","Units","2015","2015",29039.595653,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2013","2013","USD","US Dollar","0","Units","2015","2015",29181.559806,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2014","2014","USD","US Dollar","0","Units","2015","2015",29483.125403,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2015","2015","USD","US Dollar","0","Units","2015","2015",29799.270641,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2016","2016","USD","US Dollar","0","Units","2015","2015",30034.187238,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2017","2017","USD","US Dollar","0","Units","2015","2015",30341.049007,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2018","2018","USD","US Dollar","0","Units","2015","2015",30367.344559,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2019","2019","USD","US Dollar","0","Units","2015","2015",29028.105433,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2020","2020","USD","US Dollar","0","Units","2015","2015",28988.715201,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2021","2021","USD","US Dollar","0","Units","2015","2015",30039.142656,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2000","2000","USD","US Dollar","0","Units","2015","2015",42029.599255,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2001","2001","USD","US Dollar","0","Units","2015","2015",43150.476289,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2002","2002","USD","US Dollar","0","Units","2015","2015",43989.821735,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2003","2003","USD","US Dollar","0","Units","2015","2015",45320.491346,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2004","2004","USD","US Dollar","0","Units","2015","2015",46252.566673,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2005","2005","USD","US Dollar","0","Units","2015","2015",46945.279351,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2006","2006","USD","US Dollar","0","Units","2015","2015",48065.627521,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2007","2007","USD","US Dollar","0","Units","2015","2015",48880.614728,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2008","2008","USD","US Dollar","0","Units","2015","2015",48806.951841,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2009","2009","USD","US Dollar","0","Units","2015","2015",48866.302402,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2010","2010","USD","US Dollar","0","Units","2015","2015",49262.50651,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2011","2011","USD","US Dollar","0","Units","2015","2015",50478.594827,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2012","2012","USD","US Dollar","0","Units","2015","2015",50884.034984,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2013","2013","USD","US Dollar","0","Units","2015","2015",51305.795224,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2014","2014","USD","US Dollar","0","Units","2015","2015",51634.245051,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2015","2015","USD","US Dollar","0","Units","2015","2015",52286.210333,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2016","2016","USD","US Dollar","0","Units","2015","2015",52650.676091,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2017","2017","USD","US Dollar","0","Units","2015","2015",53280.35234,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2018","2018","USD","US Dollar","0","Units","2015","2015",53625.297369,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVXVOB","Per head, constant prices, constant exchange rates, OECD base year","2019","2019","USD","US Dollar","0","Units","2015","2015",52807.794546,,
