"LOCATION,""Country"",""REG_ID"",""Region"",""IND"",""Indicator"",""ISC11"",""Education ISCED level"",""GENDER"",""Gender"",""MEAS"",""Measure"",""TIME"",""Year"",""Unit Code"",""Unit"",""PowerCode Code"",""PowerCode"",""Reference Period Code"",""Reference Period"",""Value"",""Flag Codes"",""Flags"""
"AUS,""Australia"",""AUS"",""Australia"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2016"",""2016"",""PC"",""Percentage"",""0"",""Units"",,,36.3,,"
"AUS,""Australia"",""AUS"",""Australia"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2017"",""2017"",""PC"",""Percentage"",""0"",""Units"",,,35.7,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2000"",""2000"",""PC"",""Percentage"",""0"",""Units"",,,62.1,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2001"",""2001"",""PC"",""Percentage"",""0"",""Units"",,,62.6,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2002"",""2002"",""PC"",""Percentage"",""0"",""Units"",,,62.7,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2003"",""2003"",""PC"",""Percentage"",""0"",""Units"",,,63.3,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2004"",""2004"",""PC"",""Percentage"",""0"",""Units"",,,61.8,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2005"",""2005"",""PC"",""Percentage"",""0"",""Units"",,,62.7,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2006"",""2006"",""PC"",""Percentage"",""0"",""Units"",,,62.7,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2007"",""2007"",""PC"",""Percentage"",""0"",""Units"",,,62.6,,"
