"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","0","Units","2015","2015",20571.056209,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","0","Units","2015","2015",20912.884591,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","0","Units","2015","2015",21567.790047,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","0","Units","2015","2015",22453.240314,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","0","Units","2015","2015",23221.865192,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","0","Units","2015","2015",23695.944603,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","0","Units","2015","2015",24614.816164,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","0","Units","2015","2015",25322.256202,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","0","Units","2015","2015",24886.588571,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","0","Units","2015","2015",25225.135744,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","0","Units","2015","2015",25834.275351,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","0","Units","2015","2015",26203.120042,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","0","Units","2015","2015",26229.592817,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","0","Units","2015","2015",26357.819876,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","0","Units","2015","2015",26630.204619,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","0","Units","2015","2015",26915.758212,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","0","Units","2015","2015",27127.943214,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","0","Units","2015","2015",27405.111648,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","0","Units","2015","2015",27428.862724,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","0","Units","2015","2015",26219.214442,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","0","Units","2015","2015",26183.635788,,
"AUS","Australia","P31S14","Final consumption expenditure of households","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","0","Units","2015","2015",27132.419124,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","0","Units","2015","2015",37962.624821,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","0","Units","2015","2015",38975.040715,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","0","Units","2015","2015",39733.167293,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","0","Units","2015","2015",40935.075284,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","0","Units","2015","2015",41776.95878,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","0","Units","2015","2015",42402.641441,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","0","Units","2015","2015",43414.579646,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","0","Units","2015","2015",44150.704999,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","0","Units","2015","2015",44084.170067,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","0","Units","2015","2015",44137.777599,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","0","Units","2015","2015",44495.643202,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","0","Units","2015","2015",45594.057304,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","0","Units","2015","2015",45960.265235,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","0","Units","2015","2015",46341.214043,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","0","Units","2015","2015",46637.881577,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","0","Units","2015","2015",47226.759745,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","0","Units","2015","2015",47555.958145,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","0","Units","2015","2015",48124.704067,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","0","Units","2015","2015",48436.270652,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","0","Units","2015","2015",47697.873106,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","0","Units","2015","2015",48165.570251,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","0","Units","2015","2015",49844.277093,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2022","2022","USD","US Dollar","0","Units","2015","2015",51041.128905,"E","Estimated value"
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","0","Units","2015","2015",25182.993267,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","0","Units","2015","2015",25658.075468,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","0","Units","2015","2015",26375.109046,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","0","Units","2015","2015",27496.638733,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","0","Units","2015","2015",28410.191525,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","0","Units","2015","2015",28926.348393,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","0","Units","2015","2015",29828.383774,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","0","Units","2015","2015",30662.459278,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","0","Units","2015","2015",30399.960539,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","0","Units","2015","2015",30698.024458,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","0","Units","2015","2015",31464.017774,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","0","Units","2015","2015",31804.510408,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","0","Units","2015","2015",31793.063582,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","0","Units","2015","2015",31915.131894,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","0","Units","2015","2015",32287.755981,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","0","Units","2015","2015",32733.537514,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","0","Units","2015","2015",33182.841565,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","0","Units","2015","2015",33611.568157,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","0","Units","2015","2015",33828.564145,,
"AUS","Australia","P41","of which: Actual individual consumption","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","0","Units","2015","2015",32904.036671,,
