"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","21","21.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","BEN","Benin","","BTSX","Both sexes","","6.9","6.90000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","BWA","Botswana","","BTSX","Both sexes","","19.4","19.40000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","BFA","Burkina Faso","","BTSX","Both sexes","","14.3","14.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","BDI","Burundi","","BTSX","Both sexes","","11.8","11.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","CPV","Cabo Verde","","BTSX","Both sexes","","11.4","11.40000","","","","",""
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","CMR","Cameroon","","BTSX","Both sexes","","7.3","7.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","TCD","Chad","","BTSX","Both sexes","","8.3","8.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","COM","Comoros","","BTSX","Both sexes","","20.3","20.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","COG","Congo","","BTSX","Both sexes","","14.5","14.50000","","","","","Projected from surveys completed prior to 2020."
